epoch,cur_lr,train_loss,val_loss,valid_acc,train_acc
1,0.001,1.9810974068111844,1.479491114616394,0.5106382966041565,0.5106382966041565
2,0.001,1.412472711669074,1.0664607683817546,0.7021276354789734,0.7021276354789734
3,0.001,1.0661065181096394,0.8561392823855082,0.7517730593681335,0.7517730593681335
4,0.001,0.819276836183336,0.6544680992762247,0.7659574747085571,0.7659574747085571
5,0.001,0.6628102593951755,0.5802265206972758,0.758865237236023,0.758865237236023
6,0.001,0.5874014496803284,0.5335912108421326,0.8226950168609619,0.8226950168609619
7,0.001,0.5454188287258148,0.4061511953671773,0.8723404407501221,0.8723404407501221
8,0.001,0.5131427148977915,0.49748721718788147,0.8368794322013855,0.8368794322013855
9,0.001,0.4368365638785892,0.43825725714365643,0.8723404407501221,0.8723404407501221
10,0.001,0.3666291832923889,0.44262086351712543,0.8652482032775879,0.8652482032775879
11,0.001,0.4735224081410302,0.3154132862885793,0.9078013896942139,0.9078013896942139
12,0.001,0.38003286388185287,0.4645068844159444,0.8439716100692749,0.8439716100692749
13,0.001,0.34026917484071517,0.2788585623105367,0.9432623982429504,0.9432623982429504
14,0.001,0.31909459663761985,0.289559468626976,0.9007092118263245,0.9007092118263245
15,0.001,0.2623130910926395,0.2891942113637924,0.9078013896942139,0.9078013896942139
16,0.001,0.2548522220717536,0.29880430301030475,0.9432623982429504,0.9432623982429504
17,0.001,0.28336068491141003,0.3097042143344879,0.9290780425071716,0.9290780425071716
18,0.001,0.2473578585518731,0.2260742982228597,0.9503546357154846,0.9503546357154846
19,0.001,0.2129389312532213,0.34238289793332416,0.8936170339584351,0.8936170339584351
20,0.001,0.1793389543890953,0.16655500729878744,0.9716312289237976,0.9716312289237976
21,0.001,0.1647448076142205,0.28666803737481433,0.9503546357154846,0.9503546357154846
22,0.001,0.22059552454286152,0.30089087784290314,0.9290780425071716,0.9290780425071716
23,0.001,0.22673843966590035,0.17133556803067526,0.9645389914512634,0.9645389914512634
24,0.001,0.19249597854084438,0.22265788416067758,0.936170220375061,0.936170220375061
25,0.001,0.1562416528662046,0.19545327623685202,0.957446813583374,0.957446813583374
26,0.001,0.1558620250887341,0.1274811973174413,0.9716312289237976,0.9716312289237976
