epoch,cur_lr,train_loss,val_loss,valid_acc,train_acc
1,0.001,1.6000272727781726,1.104931429028511,0.7090908885002136,0.7090908885002136
2,0.001,0.9460771612582668,0.7925720885396004,0.7727272510528564,0.7727272510528564
3,0.001,0.6504864731142598,0.7202813550829887,0.7772727012634277,0.7772727012634277
4,0.001,0.5248397386843159,0.5262707769870758,0.8727272748947144,0.8727272748947144
5,0.001,0.45326580876304257,0.5098870694637299,0.8863636255264282,0.8863636255264282
6,0.001,0.441377368184828,0.4589693620800972,0.9136363863945007,0.9136363863945007
7,0.001,0.4336495529259405,0.43301863595843315,0.9227272868156433,0.9227272868156433
8,0.001,0.3639498828880249,0.46767526492476463,0.8999999761581421,0.8999999761581421
9,0.001,0.3945860949254805,0.3898126184940338,0.9363636374473572,0.9363636374473572
10,0.001,0.2826854896641547,0.46689510345458984,0.9272727370262146,0.9272727370262146
11,0.001,0.26764449789639444,0.3432608023285866,0.9409090876579285,0.9409090876579285
12,0.001,0.25622296549620166,0.4230997823178768,0.9409090876579285,0.9409090876579285
13,0.001,0.23812458051308508,0.287732258439064,0.9363636374473572,0.9363636374473572
14,0.001,0.23468637490464794,0.3109947592020035,0.9409090876579285,0.9409090876579285
15,0.001,0.21005423186767486,0.3102921284735203,0.9545454382896423,0.9545454382896423
16,0.001,0.21622469107950887,0.2818749211728573,0.9636363387107849,0.9636363387107849
17,0.001,0.3413635369750761,0.33234816789627075,0.9636363387107849,0.9636363387107849
18,0.001,0.2574486737289736,0.32101693749427795,0.9454545378684998,0.9454545378684998
19,0.001,0.18758395770865102,0.2896093800663948,0.949999988079071,0.949999988079071
20,0.001,0.18110587856461924,0.3215644769370556,0.9409090876579285,0.9409090876579285
21,0.001,0.19339650004140793,0.3476942600682378,0.949999988079071,0.949999988079071
22,0.001,0.1644491489203046,0.3203773954883218,0.9545454382896423,0.9545454382896423
23,0.001,0.15810590453686252,0.2875046553090215,0.949999988079071,0.949999988079071
24,0.001,0.15791926064318226,0.39643723936751485,0.8909090757369995,0.8909090757369995
25,0.001,0.15421883629695063,0.24814599426463246,0.9727272987365723,0.9727272987365723
26,0.001,0.1207717779062448,0.32323852740228176,0.9545454382896423,0.9545454382896423
27,0.001,0.1347304380709125,0.3337718676775694,0.9454545378684998,0.9454545378684998
28,0.001,0.1235152732340559,0.2624956388026476,0.9636363387107849,0.9636363387107849
29,0.001,0.13329745336405693,0.23338553123176098,0.9636363387107849,0.9636363387107849
30,0.001,0.11703755700540158,0.1971595799550414,0.9590908885002136,0.9590908885002136
31,0.001,0.15689876194923155,0.2603312742430717,0.9681817889213562,0.9681817889213562
32,0.001,0.14912427264836528,0.3280883710831404,0.9681817889213562,0.9681817889213562
33,0.001,0.13015754953507455,0.28260656143538654,0.9681817889213562,0.9681817889213562
34,0.001,0.1559196458829026,0.30842320527881384,0.949999988079071,0.949999988079071
35,0.001,0.16884502386974712,0.32406168058514595,0.9545454382896423,0.9545454382896423
36,0.001,0.1454073570428356,0.26560404570773244,0.9590908885002136,0.9590908885002136
37,0.001,0.1030302356568075,0.25901333428919315,0.9545454382896423,0.9545454382896423
38,0.001,0.09498878826777782,0.2962370440363884,0.9590908885002136,0.9590908885002136
39,0.001,0.09844657826808191,0.24958764179609716,0.9727272987365723,0.9727272987365723
40,0.001,0.10017420297428485,0.4536169683560729,0.949999988079071,0.949999988079071
41,0.001,0.15876188346995943,0.18783596996217966,0.9545454382896423,0.9545454382896423
42,0.001,0.13060790678906825,0.21462468919344246,0.9636363387107849,0.9636363387107849
43,0.001,0.130647620246295,0.2675874549895525,0.9636363387107849,0.9636363387107849
44,0.001,0.10637846679216431,0.2199248932301998,0.9636363387107849,0.9636363387107849
45,0.001,0.11224140917822238,0.24888056982308626,0.9454545378684998,0.9454545378684998
46,0.001,0.1459691208456793,0.1939967218786478,0.9727272987365723,0.9727272987365723
47,0.001,0.12411415090243663,0.21660864539444447,0.9681817889213562,0.9681817889213562
48,0.001,0.08740060376904664,0.20972614036872983,0.9636363387107849,0.9636363387107849
49,0.001,0.08788583031855524,0.17560452222824097,0.9772727489471436,0.9772727489471436
50,0.001,0.08258316051703127,0.19377284729853272,0.9681817889213562,0.9681817889213562
51,0.001,0.10307243911008682,0.3502517573069781,0.949999988079071,0.949999988079071
52,0.001,0.11913861541618262,0.20644126273691654,0.9545454382896423,0.9545454382896423
53,0.001,0.09961103726058237,0.23302147164940834,0.9636363387107849,0.9636363387107849
54,0.001,0.08173857503119976,0.27119853207841516,0.9636363387107849,0.9636363387107849
55,0.001,0.0725391888390145,0.2566236602142453,0.9636363387107849,0.9636363387107849
56,0.001,0.0935851154067824,0.30653251614421606,0.9772727489471436,0.9772727489471436
57,0.001,0.1661959473163851,0.28980743419378996,0.9681817889213562,0.9681817889213562
58,0.001,0.10783753315767934,0.25440348545089364,0.9727272987365723,0.9727272987365723
59,0.001,0.0942006373117047,0.27837018528953195,0.9727272987365723,0.9727272987365723
60,0.001,0.09310108080746667,0.26665637153200805,0.9636363387107849,0.9636363387107849
61,0.001,0.07715186308468541,0.2559212134219706,0.9727272987365723,0.9727272987365723
62,0.001,0.07745841628826794,0.2562383122276515,0.9772727489471436,0.9772727489471436
63,0.001,0.0691221263334756,0.24408993870019913,0.9772727489471436,0.9772727489471436
64,0.001,0.06963904980089396,0.28118621185421944,0.9545454382896423,0.9545454382896423
65,0.001,0.13781331095003313,0.5503797270357609,0.8681818246841431,0.8681818246841431
66,0.001,0.11459050411658903,0.24128730059601367,0.9727272987365723,0.9727272987365723
67,0.001,0.08347041385188218,0.2685787472873926,0.9772727489471436,0.9772727489471436
68,0.001,0.07464954338126606,0.27875522733666,0.9818181991577148,0.9818181991577148
69,0.001,0.07731065349352936,0.30963612208142877,0.9681817889213562,0.9681817889213562
70,0.001,0.14086728681239388,0.2967543452978134,0.9727272987365723,0.9727272987365723
71,0.001,0.1198549891912168,0.4362940154969692,0.9681817889213562,0.9681817889213562
72,0.001,0.10614187024053066,0.35642928909510374,0.9636363387107849,0.9636363387107849
73,0.001,0.11031648600774427,0.34126471541821957,0.9681817889213562,0.9681817889213562
74,0.001,0.09020646184592718,0.29764544614590704,0.9681817889213562,0.9681817889213562
75,0.001,0.07212537761417127,0.29881546925753355,0.9772727489471436,0.9772727489471436
76,0.001,0.07094076861657443,0.3351420145481825,0.9590908885002136,0.9590908885002136
77,0.001,0.08585053853570454,0.3331529445713386,0.9681817889213562,0.9681817889213562
78,0.001,0.11197571264159295,0.4568615867756307,0.9636363387107849,0.9636363387107849
79,0.001,0.09248520734329377,0.2720103822648525,0.9545454382896423,0.9545454382896423
80,0.001,0.06321974628935417,0.23324804520234466,0.9863636493682861,0.9863636493682861
81,0.001,0.06262589961050018,0.26059094443917274,0.9818181991577148,0.9818181991577148
82,0.001,0.06559299926964506,0.2659133202396333,0.9772727489471436,0.9772727489471436
83,0.001,0.05981524463652844,0.2688109081937,0.9772727489471436,0.9772727489471436
84,0.001,0.0604843107172318,0.26978973113000393,0.9727272987365723,0.9727272987365723
85,0.001,0.06268958627216277,0.2844097148627043,0.9818181991577148,0.9818181991577148
86,0.001,0.06231221269756075,0.36826918832957745,0.949999988079071,0.949999988079071
87,0.001,0.08322402029748886,0.26309783942997456,0.9772727489471436,0.9772727489471436
88,0.001,0.05797064566098514,0.3015443058684468,0.9772727489471436,0.9772727489471436
89,0.001,0.0646768107469524,0.4380952175706625,0.9772727489471436,0.9772727489471436
90,0.001,0.08588532090652734,0.32029994553886354,0.9727272987365723,0.9727272987365723
91,0.001,0.0734102466564265,0.24104770878329873,0.9727272987365723,0.9727272987365723
92,0.001,0.06242618893062876,0.20944160502403975,0.9818181991577148,0.9818181991577148
93,0.001,0.06319947994404262,0.21384581364691257,0.9818181991577148,0.9818181991577148
94,0.001,0.08509581707297795,0.23313958570361137,0.9772727489471436,0.9772727489471436
95,0.001,0.09124513294908308,0.2246351595968008,0.9727272987365723,0.9727272987365723
96,0.001,0.08065497995384278,0.34416351467370987,0.9772727489471436,0.9772727489471436
97,0.001,0.053083867074882794,0.30462135293055326,0.9727272987365723,0.9727272987365723
98,0.001,0.05316797068043079,0.3135807476937771,0.9772727489471436,0.9772727489471436
99,0.001,0.05047702983832888,0.304872483946383,0.9818181991577148,0.9818181991577148
100,0.001,0.048263319039476976,0.33306698873639107,0.9590908885002136,0.9590908885002136
101,0.001,0.050197107026413564,0.2661365191452205,0.9863636493682861,0.9863636493682861
102,0.001,0.052646152194469206,0.2828094339929521,0.9818181991577148,0.9818181991577148
103,0.001,0.043383564728672705,0.28787963511422276,0.9818181991577148,0.9818181991577148
104,0.001,0.0442542600024852,0.31235993281006813,0.9681817889213562,0.9681817889213562
105,0.001,0.06644405346483953,0.38257343228906393,0.9681817889213562,0.9681817889213562
106,0.001,0.053597661546401436,0.3404527101665735,0.9818181991577148,0.9818181991577148
107,0.001,0.04094517515641787,0.3140956708230078,0.9818181991577148,0.9818181991577148
108,0.001,0.06378229916275989,0.257925758138299,0.9727272987365723,0.9727272987365723
109,0.001,0.0467164641126029,0.311689238762483,0.9863636493682861,0.9863636493682861
110,0.001,0.03928477099285491,0.31701007578521967,0.9909090995788574,0.9909090995788574
111,0.001,0.03806165572736533,0.34877968672662973,0.9772727489471436,0.9772727489471436
112,0.001,0.04398863262406761,0.36372055020183325,0.9863636493682861,0.9863636493682861
113,0.001,0.0908716581761837,0.4345137616619468,0.9681817889213562,0.9681817889213562
114,0.001,0.08173392935385627,0.3428874062374234,0.9772727489471436,0.9772727489471436
115,0.001,0.07698981848455244,0.3772691157646477,0.9772727489471436,0.9772727489471436
116,0.001,0.06720453260406371,0.3784800887806341,0.9772727489471436,0.9772727489471436
117,0.001,0.05487932925743441,0.3681961465626955,0.9727272987365723,0.9727272987365723
118,0.001,0.054472582925471566,0.3284893296658993,0.9772727489471436,0.9772727489471436
119,0.001,0.054351005147421555,0.3354662097990513,0.9818181991577148,0.9818181991577148
120,0.001,0.03908779685415568,0.28169541247189045,0.9772727489471436,0.9772727489471436
121,0.001,0.050922008967327494,0.3213700968772173,0.9636363387107849,0.9636363387107849
122,0.001,0.05165845875237738,0.3188224481418729,0.9863636493682861,0.9863636493682861
123,0.001,0.0358303718270573,0.3784958068281412,0.9590908885002136,0.9590908885002136
124,0.001,0.06312769402058856,0.3434447899926454,0.9909090995788574,0.9909090995788574
125,0.001,0.12478101541919093,0.3275959584861994,0.9681817889213562,0.9681817889213562
126,0.001,0.07110872236831535,0.6080364640802145,0.9454545378684998,0.9454545378684998
