epoch,cur_lr,train_loss,val_loss,valid_acc,train_acc
1,0.001,2.13031455129385,1.942690670490265,0.27450981736183167,0.27450981736183167
2,0.001,1.769670009613037,1.7056052088737488,0.30882352590560913,0.30882352590560913
3,0.001,1.6515064761042595,1.6652352213859558,0.3333333432674408,0.3333333432674408
4,0.001,1.6170078068971634,1.5844170153141022,0.3235294222831726,0.3235294222831726
5,0.001,1.5510366037487984,1.6064945757389069,0.36764705181121826,0.36764705181121826
6,0.001,1.4963730573654175,1.5846087634563446,0.36274510622024536,0.36274510622024536
7,0.001,1.4850450605154037,1.5016569197177887,0.37745097279548645,0.37745097279548645
8,0.001,1.3828580304980278,1.43853098154068,0.4362744987010956,0.4362744987010956
9,0.001,1.3219759240746498,1.3226413130760193,0.5098039507865906,0.5098039507865906
10,0.001,1.223292015492916,1.2655163705348969,0.5588235259056091,0.5588235259056091
11,0.001,1.1266881078481674,1.1866706609725952,0.6078431606292725,0.6078431606292725
12,0.001,1.079025499522686,1.145259290933609,0.5833333134651184,0.5833333134651184
13,0.001,1.0549339465796947,1.096526861190796,0.5980392098426819,0.5980392098426819
14,0.001,1.0028266236186028,0.9874248206615448,0.6519607901573181,0.6519607901573181
15,0.001,0.943565770983696,0.9317439049482346,0.6764705777168274,0.6764705777168274
16,0.001,0.9457848966121674,0.8591655641794205,0.6715686321258545,0.6715686321258545
17,0.001,0.8566429577767849,0.8475804477930069,0.593137264251709,0.593137264251709
18,0.001,0.9246621206402779,0.8463880121707916,0.5882353186607361,0.5882353186607361
19,0.001,0.8786376528441906,0.8736946433782578,0.6715686321258545,0.6715686321258545
20,0.001,0.8684107139706612,0.7676661908626556,0.6519607901573181,0.6519607901573181
21,0.001,0.8079921118915081,0.807642936706543,0.7156862616539001,0.7156862616539001
22,0.001,0.7860725261271,0.7146783024072647,0.6911764740943909,0.6911764740943909
23,0.001,0.8359660059213638,0.868731677532196,0.6617646813392639,0.6617646813392639
24,0.001,0.788834098726511,0.7773288190364838,0.6960784196853638,0.6960784196853638
25,0.001,0.8289480172097683,0.7429804503917694,0.7254902124404907,0.7254902124404907
26,0.001,0.7873313874006271,0.9853787571191788,0.6421568393707275,0.6421568393707275
27,0.001,0.8322463147342205,0.8848830610513687,0.7009803652763367,0.7009803652763367
28,0.001,0.789889395236969,0.7292328178882599,0.6911764740943909,0.6911764740943909
29,0.001,0.7395130209624767,0.7028272226452827,0.7058823704719543,0.7058823704719543
30,0.001,0.7479633577167988,0.7365104109048843,0.7009803652763367,0.7009803652763367
31,0.001,0.7295339480042458,0.7708637118339539,0.6911764740943909,0.6911764740943909
32,0.001,0.7610518001019955,0.757389485836029,0.6960784196853638,0.6960784196853638
33,0.001,0.6882599368691444,0.72915118932724,0.7303921580314636,0.7303921580314636
34,0.001,0.7058525830507278,0.813025638461113,0.6813725233078003,0.6813725233078003
35,0.001,0.7322105839848518,0.9284613579511642,0.6764705777168274,0.6764705777168274
36,0.001,0.771284643560648,0.7213269174098969,0.6911764740943909,0.6911764740943909
37,0.001,0.752513911575079,0.678302213549614,0.7254902124404907,0.7254902124404907
38,0.001,0.7291418686509132,0.8028029799461365,0.6764705777168274,0.6764705777168274
39,0.001,0.7236691638827324,0.6833983659744263,0.7450980544090271,0.7450980544090271
40,0.001,0.6970255207270384,0.7555331438779831,0.7303921580314636,0.7303921580314636
41,0.001,0.7096913419663906,0.7742728590965271,0.7058823704719543,0.7058823704719543
42,0.001,0.6960370056331158,0.8298491686582565,0.6519607901573181,0.6519607901573181
43,0.001,0.6570507474243641,0.6183993965387344,0.7696078419685364,0.7696078419685364
44,0.001,0.6640225872397423,0.8584728986024857,0.7058823704719543,0.7058823704719543
45,0.001,0.6985780298709869,0.7554782181978226,0.7303921580314636,0.7303921580314636
46,0.001,0.692435447126627,0.7464371621608734,0.7009803652763367,0.7009803652763367
47,0.001,0.6709893345832825,0.6702769100666046,0.6617646813392639,0.6617646813392639
48,0.001,0.6572302132844925,0.699178546667099,0.7598039507865906,0.7598039507865906
49,0.001,0.6753573454916477,0.6914520338177681,0.720588207244873,0.720588207244873
50,0.001,0.6312220059335232,0.7594133615493774,0.7303921580314636,0.7303921580314636
51,0.001,0.6893388479948044,0.6834223121404648,0.7352941036224365,0.7352941036224365
