epoch,cur_lr,train_loss,val_loss,valid_acc,train_acc
1,0.001,2.6814531882603965,1.669079065322876,0.550000011920929,0.550000011920929
2,0.001,1.333335863219367,1.4646634459495544,0.5846154093742371,0.5846154093742371
3,0.001,1.1405402157041762,1.3644421100616455,0.607692301273346,0.607692301273346
4,0.001,0.9860456320974562,1.2673777043819427,0.6346153616905212,0.6346153616905212
5,0.001,0.8645118342505561,1.196535438299179,0.6692307591438293,0.6692307591438293
6,0.001,0.7431808246506585,1.1284211874008179,0.7615384459495544,0.7615384459495544
7,0.001,0.6759614215956794,1.0617316365242004,0.7807692289352417,0.7807692289352417
8,0.001,0.6239201890097724,0.986151397228241,0.7769230604171753,0.7769230604171753
9,0.001,0.566504137383567,0.9310962855815887,0.7884615659713745,0.7884615659713745
10,0.001,0.515191290113661,0.9056295156478882,0.7846153974533081,0.7846153974533081
11,0.001,0.4910093579027388,0.8684119284152985,0.7923076748847961,0.7923076748847961
12,0.001,0.47919230659802753,0.8367822170257568,0.800000011920929,0.800000011920929
13,0.001,0.4554062651263343,0.8189285099506378,0.8038461804389954,0.8038461804389954
14,0.001,0.41203250487645465,0.8088986575603485,0.800000011920929,0.800000011920929
15,0.001,0.36979690856403774,0.7611911296844482,0.7961538434028625,0.7961538434028625
16,0.001,0.3299802442391713,0.7088816165924072,0.800000011920929,0.800000011920929
17,0.001,0.3245928883552551,0.7194715440273285,0.8230769038200378,0.8230769038200378
18,0.001,0.29135265615251327,0.7119593322277069,0.8230769038200378,0.8230769038200378
19,0.001,0.2565271026558346,0.6554818451404572,0.8269230723381042,0.8269230723381042
20,0.001,0.2538309047619502,0.655182808637619,0.8269230723381042,0.8269230723381042
21,0.001,0.2513134910000695,0.6750384867191315,0.8269230723381042,0.8269230723381042
22,0.001,0.21719685196876526,0.6817037463188171,0.8346154093742371,0.8346154093742371
23,0.001,0.21464064055018955,0.6129249930381775,0.8346154093742371,0.8346154093742371
24,0.001,0.19940019481711918,0.5938560515642166,0.8269230723381042,0.8269230723381042
