epoch,cur_lr,train_loss,val_loss,valid_acc,train_acc
1,0.001,0.41118085028620455,0.18258901341603354,0.9620253443717957,0.9620253443717957
2,0.001,0.16568569660287452,0.15453730494930193,0.9696202278137207,0.9696202278137207
3,0.001,0.12748166499239905,0.12791125183866825,0.9746835231781006,0.9746835231781006
4,0.001,0.14192840613022045,0.12897383279442481,0.9734176993370056,0.9734176993370056
5,0.001,0.1156153158779751,0.13750816457454326,0.9772151708602905,0.9772151708602905
6,0.001,0.10853066961994176,0.1646539861342612,0.9759493470191956,0.9759493470191956
7,0.001,0.10815715083332213,0.08834587287633702,0.9772151708602905,0.9772151708602905
8,0.001,0.10192144784640085,0.08616361091011872,0.9784809947013855,0.9784809947013855
9,0.001,0.08568738426107007,0.08631685053611503,0.9797468185424805,0.9797468185424805
10,0.001,0.1082994731285752,0.08956368360607642,0.9835442900657654,0.9835442900657654
11,0.001,0.07451817005251844,0.08620693379964525,0.9797468185424805,0.9797468185424805
12,0.001,0.06575088056123203,0.0768597219486957,0.9822784662246704,0.9822784662246704
13,0.001,0.06319967801221185,0.06183214911587024,0.9848101139068604,0.9848101139068604
14,0.001,0.050348084084354004,0.06499728932973661,0.9822784662246704,0.9822784662246704
15,0.001,0.059908507458932767,0.07815232149390502,0.9822784662246704,0.9822784662246704
16,0.001,0.055781577808178356,0.05702768771776082,0.9835442900657654,0.9835442900657654
17,0.001,0.05067432006015568,0.06548971011963364,0.9810126423835754,0.9810126423835754
18,0.001,0.049392124954694965,0.0595044972401192,0.9835442900657654,0.9835442900657654
19,0.001,0.04022471236614594,0.06279276408109197,0.9822784662246704,0.9822784662246704
20,0.001,0.04537325327259463,0.05951200972104878,0.9848101139068604,0.9848101139068604
21,0.001,0.03988972739610183,0.061425572865678395,0.9848101139068604,0.9848101139068604
22,0.001,0.040186152506623884,0.058792925388282916,0.9860759377479553,0.9860759377479553
